,年齢階級,運動習慣の有無,性別,歩行数,時間軸(年次),人数
81,50歳-59歳,総数,総数,"6,000歩-7,999歩",2010年,153.0
82,50歳-59歳,総数,総数,"8,000歩-9,999歩",2010年,113.0
83,50歳-59歳,総数,総数,総数,2010年,735.0
84,60歳-69歳,有,総数,"10,000歩以上",2010年,122.0
85,60歳-69歳,有,総数,"2,000歩-3,999歩",2010年,51.0
86,60歳-69歳,有,総数,"2,000歩未満",2010年,9.0
87,60歳-69歳,有,総数,"4,000歩-5,999歩",2010年,99.0
88,60歳-69歳,有,総数,"6,000歩-7,999歩",2010年,87.0
89,60歳-69歳,有,総数,"8,000歩-9,999歩",2010年,82.0
90,60歳-69歳,有,総数,総数,2010年,450.0
91,60歳-69歳,無,総数,"10,000歩以上",2010年,72.0
92,60歳-69歳,無,総数,"2,000歩-3,999歩",2010年,162.0
93,60歳-69歳,無,総数,"2,000歩未満",2010年,78.0
94,60歳-69歳,無,総数,"4,000歩-5,999歩",2010年,149.0
95,60歳-69歳,無,総数,"6,000歩-7,999歩",2010年,114.0
96,60歳-69歳,無,総数,"8,000歩-9,999歩",2010年,73.0
97,60歳-69歳,無,総数,総数,2010年,652.0
98,60歳-69歳,総数,総数,"10,000歩以上",2010年,198.0
99,60歳-69歳,総数,総数,"2,000歩-3,999歩",2010年,213.0
100,60歳-69歳,総数,総数,"2,000歩未満",2010年,87.0
101,60歳-69歳,総数,総数,"4,000歩-5,999歩",2010年,248.0
102,60歳-69歳,総数,総数,"6,000歩-7,999歩",2010年,201.0
103,60歳-69歳,総数,総数,"8,000歩-9,999歩",2010年,155.0
104,60歳-69歳,総数,総数,総数,2010年,1102.0
105,70歳以上,有,総数,"10,000歩以上",2010年,64.0
106,70歳以上,有,総数,"2,000歩-3,999歩",2010年,95.0
107,70歳以上,有,総数,"2,000歩未満",2010年,48.0
108,70歳以上,有,総数,"4,000歩-5,999歩",2010年,81.0
109,70歳以上,有,総数,"6,000歩-7,999歩",2010年,86.0
110,70歳以上,有,総数,"8,000歩-9,999歩",2010年,62.0
111,70歳以上,有,総数,総数,2010年,436.0
112,70歳以上,無,総数,"10,000歩以上",2010年,23.0
113,70歳以上,無,総数,"2,000歩-3,999歩",2010年,178.0
114,70歳以上,無,総数,"2,000歩未満",2010年,255.0
115,70歳以上,無,総数,"4,000歩-5,999歩",2010年,110.0
116,70歳以上,無,総数,"6,000歩-7,999歩",2010年,54.0
117,70歳以上,無,総数,"8,000歩-9,999歩",2010年,29.0
118,70歳以上,無,総数,総数,2010年,650.0
119,70歳以上,総数,総数,"10,000歩以上",2010年,88.0
120,70歳以上,総数,総数,"2,000歩-3,999歩",2010年,273.0
121,70歳以上,総数,総数,"2,000歩未満",2010年,303.0
122,70歳以上,総数,総数,"4,000歩-5,999歩",2010年,191.0
123,70歳以上,総数,総数,"6,000歩-7,999歩",2010年,140.0
124,70歳以上,総数,総数,"8,000歩-9,999歩",2010年,91.0
125,70歳以上,総数,総数,総数,2010年,1086.0
