,都道府県名,市区町村名,名称,団体名,緯度,経度,小児対応設備の有無
102,東京都,江東区,深川第八中学校,,35.664748,139.81209,
103,東京都,江東区,潮見野球場・庭球場,,35.655955,139.8102,
104,東京都,江東区,潮見保育園,,35.655946,139.814647,
105,東京都,江東区,環境学習情報館（えこっくる江東）,,35.655586,139.811688,
106,東京都,江東区,東雲保育園,,35.644923,139.800105,
107,東京都,江東区,きっずクラブ東雲第二,,35.646328,139.802094,
108,東京都,江東区,グランチャ東雲,,35.649186,139.803523,
109,東京都,江東区,ひばり幼稚園,,35.642258,139.798212,
110,東京都,江東区,東雲児童館,,35.643384,139.799215,
111,東京都,江東区,東雲第二保育園,,35.643328,139.79903,
112,東京都,江東区,東雲小学校,,35.642492,139.799062,
113,東京都,江東区,きっずクラブ東雲第三,,35.642471,139.80575,
114,東京都,江東区,東雲図書館,,35.643558,139.805388,
115,東京都,江東区,深川江戸資料館,,35.681184,139.800593,
116,東京都,江東区,白河かもめ保育園,,35.683371,139.800184,
117,東京都,江東区,白河保育園,,35.683192,139.799676,
118,東京都,江東区,白河高齢者在宅サービスセンター,,35.682165,139.805759,
119,東京都,江東区,深川保健相談所,,35.682222,139.805589,
120,東京都,江東区,元加賀小学校,,35.682002,139.807991,
121,東京都,江東区,元加賀幼稚園,,35.683266,139.807614,
122,東京都,江東区,八名川小学校,,35.686821,139.795399,
123,東京都,江東区,多機能ホーム新砂,,35.666809,139.832886,
124,東京都,江東区,新砂保育園,,35.666705,139.832878,
125,東京都,江東区,新砂運動場,,35.65697,139.835013,
126,東京都,江東区,こどもプラザ,,35.687663,139.813398,
127,東京都,江東区,東川小学校,,35.688464,139.812506,
128,東京都,江東区,江東公会堂（ティアラこうとう）,,35.688496,139.8195,
129,東京都,江東区,深川第四中学校,,35.678622,139.812922,
130,東京都,江東区,川南小学校,,35.67972,139.816762,
131,東京都,江東区,川南幼稚園,,35.679605,139.816447,
132,東京都,江東区,千田福祉会館,,35.681055,139.816542,
133,東京都,江東区,千田保育園,,35.680588,139.81656,
134,東京都,江東区,深川北子ども家庭支援センター,,35.686016,139.799227,
135,東京都,江東区,深川小学校,,35.68588,139.799446,
136,東京都,江東区,辰巳中学校,,35.646848,139.811368,
137,東京都,江東区,辰巳第二保育園,,35.648994,139.810613,
138,東京都,江東区,辰巳第三保育園,,35.648198,139.811427,
139,東京都,江東区,第二辰巳小学校,,35.648514,139.808422,
140,東京都,江東区,辰巳児童館,,35.647534,139.808988,
141,東京都,江東区,辰巳小学校,,35.646516,139.809991,
142,東京都,江東区,辰巳幼稚園,,35.646275,139.810653,
143,東京都,江東区,保健所・健康センター,,35.66574,139.814215,
144,東京都,江東区,江東ホーム,,35.665877,139.814935,
145,東京都,江東区,東陽中学校,,35.666755,139.81405,
146,東京都,江東区,南陽幼稚園,,35.667456,139.813757,
147,東京都,江東区,南陽小学校,,35.66842,139.813776,
148,東京都,江東区,東陽子ども家庭支援センター,,35.668562,139.808592,
149,東京都,江東区,東陽保育園,,35.669207,139.81382,
150,東京都,江東区,東陽小学校,,35.670679,139.81557,
151,東京都,江東区,産業会館,,35.669815,139.818604,
152,東京都,江東区,江東区文化センター,,35.672493,139.818666,
153,東京都,江東区,江東区役所,,35.672774,139.817271,
154,東京都,江東区,江東区防災センター,,35.67148,139.813656,
155,東京都,江東区,東陽児童館,,35.671372,139.811804,
156,東京都,江東区,豊住庭球場,,35.674255,139.810686,
157,東京都,江東区,東陽福祉会館,,35.674683,139.812103,
158,東京都,江東区,シルバー人材センター,,35.674683,139.812103,
159,東京都,江東区,東陽高齢者在宅サービスセンター,,35.674683,139.812103,
160,東京都,江東区,芭蕉記念館,,35.686129,139.794053,
161,東京都,江東区,富岡出張所,,35.671769,139.798571,
162,東京都,江東区,深川庭球場,,35.672278,139.798887,
163,東京都,江東区,数矢小学校,,35.672593,139.799788,
164,東京都,江東区,豊洲文化センター,,35.654235,139.795388,
165,東京都,江東区,豊洲図書館,,35.654235,139.795388,
166,東京都,江東区,豊洲特別出張所,,35.654235,139.795388,
167,東京都,江東区,豊洲公園,,35.653267,139.794205,
168,東京都,江東区,きっずクラブ豊洲三丁目,,35.658382,139.795609,
169,東京都,江東区,豊洲北小学校,,35.658464,139.797824,
170,東京都,江東区,豊洲小学校,,35.65403,139.798963,
171,東京都,江東区,豊洲幼稚園,,35.654031,139.798961,
172,東京都,江東区,豊洲保育園,,35.654743,139.799493,
173,東京都,江東区,豊洲児童館,,35.653568,139.802955,
174,東京都,江東区,深川第五中学校,,35.651498,139.799632,
175,東京都,江東区,豊洲西小学校,,35.651498,139.795456,
176,東京都,江東区,豊洲西小学校体育館棟,,35.651479,139.795414,
177,東京都,江東区,豊洲西小学校体育館棟,,35.651479,139.795414,
178,東京都,江東区,豊洲子ども家庭支援センター,,35.653708,139.796191,
179,東京都,江東区,豊洲ぐるり公園,,35.63721,139.766707,
180,東京都,江東区,東砂庭球場,,35.683773,139.839689,
181,東京都,江東区,東砂第三保育園,,35.685043,139.843819,
182,東京都,江東区,東砂第二保育園,,35.684423,139.843015,
183,東京都,江東区,東砂小学校,,35.683409,139.844103,
184,東京都,江東区,東砂保育園,,35.685119,139.841712,
185,東京都,江東区,東砂第二児童館,,35.685978,139.841607,
186,東京都,江東区,第七砂町小学校,,35.678923,139.845973,
187,東京都,江東区,荒川砂町庭球場,,35.680119,139.845973,
188,東京都,江東区,東砂福祉園,,35.681023,139.845315,
