,都道府県名,市区町村名,名称,団体名,X,Y,小児対応機器設備の有無
116,東京都,中野区,鷺六高齢者会館,中野区,-18382.35389,-30420.2701,有
117,東京都,中野区,白鷺高齢者会館,中野区,-17862.19323,-31195.38428,有
118,東京都,中野区,若宮いこいの家,中野区,-16755.73699,-31027.13227,有
119,東京都,中野区,中野三丁目敬老館,中野区,-15312.03187,-33090.91114,
120,東京都,中野区,東中野地域包括支援センター,中野区,-13403.86468,-33092.36965,有
121,東京都,中野区,やよいの園,中野区,-14394.44911,-34516.32268,有
122,東京都,中野区,松が丘シニアプラザ,中野区,-14585.75769,-30918.57679,有
123,東京都,中野区,社会福祉会館（スマイルなかの）,中野区,-15202.25148,-32252.96484,有
124,東京都,中野区,中野区保健所,中野区,-14841.48725,-32956.50931,有
125,東京都,中野区,中野区立総合体育館,中野区,-15416.40453,-31508.94429,有
126,東京都,中野区,上高田運動施設（野球場、庭球場）,中野区,-14039.54182,-31350.47134,有
127,東京都,中野区,哲学堂公園,中野区,-14384.68066,-30776.12097,有
128,東京都,中野区,哲学堂公園内弓道場,中野区,-14424.40722,-30671.10424,有
129,東京都,中野区,妙正寺川公園運動広場,中野区,-14472.61912,-30943.72415,有
130,東京都,中野区,第二中学校温水プール,中野区,-14623.20469,-34101.80049,有
131,東京都,中野区,中野中学校温水プール,中野区,-15590.80692,-32208.9126,有
132,東京都,中野区,中部スポーツ・コミュニティプラザ,中野区,-14400.23892,-33230.04384,有
133,東京都,中野区,南部スポーツ・コミュニティプラザ,中野区,-14901.95436,-34586.60057,有
134,東京都,中野区,鷺宮スポーツ・コミュニティプラザ,中野区,-17814.37753,-30767.01696,有
135,東京都,中野区,中野区障害者福祉事業団,中野区,-15246.18299,-31910.96312,有
136,東京都,中野区,かみさぎこぶし園,中野区,-17844.38923,-29944.86537,有
137,東京都,中野区,弥生福祉作業所,中野区,-14701.71634,-34402.5474,有
138,東京都,中野区,療育センターアポロ園,中野区,-15732.39031,-30458.6451,有
139,東京都,中野区,療育センターゆめなりあ,中野区,-15106.62737,-34819.01265,有
140,東京都,中野区,知的・発達等障害児通所支援施設　みずいろ,中野区,-15919.5469,-30397.62542,有
141,東京都,中野区,重度・重複障害児通所支援施設　たんぽぽ,中野区,-15919.5469,-30397.62542,有
142,東京都,中野区,中野区役所福祉推進課,中野区,-15338.83287,-32433.12334,有
143,東京都,中野区,中野区健康福祉部障害福祉課,中野区,-15343.55944,-32445.42985,有
144,東京都,中野区,中野区役所生活援護課,中野区,-15338.83287,-32433.12334,有
145,東京都,中野区,リサイクル展示室,中野区,-14798.87209,-31331.26552,有
146,東京都,中野区,中野四季の森公園,中野区,-15553.14467,-32403.79456,有
147,東京都,中野区,広町みらい公園,中野区,-15555.85068,-34983.87521,有
