,都道府県名,市区町村名,名称,団体名,緯度,経度,小児対応設備の有無
100,東京都,町田市,小山田南小学校,町田市,35.58862856,139.4008296,無
101,東京都,町田市,木曽境川小学校,町田市,35.56545375,139.4161173,無
102,東京都,町田市,木曽境川小学校,町田市,35.56545375,139.4161173,無
103,東京都,町田市,七国山小学校,町田市,35.5763085,139.4353089,無
104,東京都,町田市,七国山小学校,町田市,35.5763085,139.4353089,無
105,東京都,町田市,図師小学校,町田市,35.58432542,139.4167523,無
106,東京都,町田市,図師小学校,町田市,35.58432542,139.4167523,無
107,東京都,町田市,小山小学校,町田市,35.59194314,139.3776096,無
108,東京都,町田市,小山小学校,町田市,35.59194314,139.3776096,無
109,東京都,町田市,小山ヶ丘小学校,町田市,35.60508147,139.354461,無
110,東京都,町田市,小山ヶ丘小学校,町田市,35.60508147,139.354461,無
111,東京都,町田市,小山中央小学校,町田市,35.60208336,139.3732948,無
112,東京都,町田市,小山中央小学校,町田市,35.60208336,139.3732948,無
113,東京都,町田市,相原小学校,町田市,35.60678603,139.3235509,無
114,東京都,町田市,相原小学校,町田市,35.60678603,139.3235509,無
115,東京都,町田市,大戸小学校,町田市,35.60953767,139.3033732,無
116,東京都,町田市,大戸小学校,町田市,35.60953767,139.3033732,無
117,東京都,町田市,町田第一中学校,町田市,35.55107972,139.4459759,無
118,東京都,町田市,町田第一中学校,町田市,35.55107972,139.4459759,無
119,東京都,町田市,町田第一中学校,町田市,35.55107972,139.4459759,無
120,東京都,町田市,町田第二中学校,町田市,35.54957181,139.4551162,無
121,東京都,町田市,町田第二中学校,町田市,35.54957181,139.4551162,無
122,東京都,町田市,町田第三中学校,町田市,35.56154108,139.4321071,無
123,東京都,町田市,町田第三中学校,町田市,35.56154108,139.4321071,無
124,東京都,町田市,南大谷中学校,町田市,35.55079956,139.4634209,無
125,東京都,町田市,南大谷中学校,町田市,35.55079956,139.4634209,無
126,東京都,町田市,南中学校,町田市,35.52683847,139.4617776,無
127,東京都,町田市,南中学校,町田市,35.52683847,139.4617776,無
128,東京都,町田市,つくし野中学校,町田市,35.51856911,139.4770117,無
129,東京都,町田市,つくし野中学校,町田市,35.51856911,139.4770117,無
130,東京都,町田市,成瀬台中学校,町田市,35.55069644,139.4771984,無
131,東京都,町田市,成瀬台中学校,町田市,35.55069644,139.4771984,無
132,東京都,町田市,南成瀬中学校,町田市,35.53366694,139.482134,無
